epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.967,1.15827,1.82136,1.45222,0.59584,0.57651,0.59104,0.33686,1.32447,1.43193,1.6864,0.00332749,0.00332749,0.00332749
2,211.918,1.05683,1.35299,1.36537,0.65836,0.5994,0.65453,0.37382,1.34615,1.37919,1.69702,0.00662785,0.00662785,0.00662785
3,315.543,1.11823,1.40472,1.40358,0.53805,0.54042,0.51779,0.28729,1.47495,1.63778,1.82427,0.00989521,0.00989521,0.00989521
4,418.816,1.18361,1.48118,1.45601,0.55003,0.58317,0.54296,0.27414,1.56121,2.06905,1.92356,0.0098515,0.0098515,0.0098515
5,521.649,1.16465,1.43316,1.44606,0.62927,0.59593,0.63986,0.35114,1.40073,1.3953,1.80339,0.009802,0.009802,0.009802
6,624.7,1.14337,1.40162,1.43139,0.60869,0.57024,0.55471,0.30378,1.46724,2.04121,1.86425,0.0097525,0.0097525,0.0097525
7,727.962,1.12059,1.35748,1.41911,0.78852,0.5952,0.71781,0.43521,1.31372,1.31913,1.66145,0.009703,0.009703,0.009703
8,831.118,1.09248,1.30069,1.40105,0.70989,0.70557,0.73382,0.42131,1.32955,1.24999,1.6985,0.0096535,0.0096535,0.0096535
9,934.301,1.07687,1.28557,1.38809,0.66521,0.67417,0.71527,0.42873,1.29694,1.25691,1.66831,0.009604,0.009604,0.009604
10,1037.44,1.05866,1.25429,1.38385,0.79518,0.66543,0.75728,0.47085,1.26054,1.11184,1.60871,0.0095545,0.0095545,0.0095545
11,1140.62,1.04197,1.2145,1.36222,0.7974,0.6969,0.76337,0.4637,1.2168,1.04826,1.57739,0.009505,0.009505,0.009505
12,1243.9,1.0325,1.21756,1.35787,0.74301,0.71414,0.76778,0.47652,1.19388,1.09195,1.5718,0.0094555,0.0094555,0.0094555
13,1347.25,1.02941,1.19797,1.36174,0.76379,0.68576,0.71463,0.42913,1.23902,1.39202,1.62205,0.009406,0.009406,0.009406
14,1450.49,1.01413,1.16549,1.34297,0.73228,0.69986,0.74887,0.46338,1.21356,1.06729,1.561,0.0093565,0.0093565,0.0093565
15,1553.9,1.00067,1.1426,1.33608,0.76891,0.75047,0.78427,0.4874,1.21,1.05015,1.58141,0.009307,0.009307,0.009307
16,1657.24,0.98543,1.12482,1.32531,0.77797,0.76446,0.79798,0.49152,1.18405,1.05696,1.58414,0.0092575,0.0092575,0.0092575
17,1760.46,0.97585,1.10559,1.32259,0.81287,0.73415,0.81515,0.52098,1.17213,0.96615,1.52631,0.009208,0.009208,0.009208
